Address,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSES FORCIBLE,SEX OFFENSES NON FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
25TH AV / ANZA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MADRONE AV / VICENTE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAPLES ST / PERU AV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
MANSELL ST / HOLYOKE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARTFORD ST / 19TH ST,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
2300 Block of 15TH AV,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
CARROLL AV / BAY SHORE BL,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200 Block of CORONA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400 Block of 28TH AV,0,9,0,0,2,0,0,3,0,0,0,0,1,2,0,0,4,0,0,5,12,4,0,0,0,0,0,3,0,0,1,0,2,0,1,6,4,2,1
TARAVAL ST / 21ST AV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1500 Block of 22ND ST,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200 Block of CARL ST,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,5,0,0,3,8,0,0
46TH AV / QUINTARA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1400 Block of PACIFIC AV,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,0,0
2500 Block of TARAVAL ST,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1
LAGRANDE AV / AVALON AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400 Block of 39TH AV,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,0,0
3100 Block of GOUGH ST,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0 Block of VERMONT ST,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
3600 Block of OCEAN AV,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800 Block of MASONIC AV,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
0 Block of MODOC AV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
300 Block of CAPITOL AV,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0
1700 Block of ARMSTRONG AV,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,3,0
DIVISION ST / 9TH ST,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,0
1300 Block of INGALLS ST,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,4,7,0,0,0,1,0,0,0,0,0,0,3,0,0,2,5,3,2
100 Block of MENDELL ST,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0
4200 Block of CESAR CHAVEZ ST,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
BARNEVELD AV / GAVEN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1900 Block of JERROLD AV,0,6,0,0,3,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,0,0,6,2,1,0
BAY SHORE BL / CARROLL AV,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0,3,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,1
JERROLD AV / DORMITORY RD,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
700 Block of OLMSTEAD ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAN BRUNO AV / 25TH ST,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0
BLANKEN AV / TUNNEL AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
800 Block of ASHBURY ST,1,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0
0 Block of HARRIS PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19TH ST / EUREKA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0
2000 Block of GALVEZ AV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
JUNIPERO SERRA BL / GARFIELD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0
0 Block of CAYUGA AV,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0
3RD ST / TABER PL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500 Block of 42ND AV,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
VIDAL DR / ACEVEDO AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
300 Block of HOWTH ST,1,4,0,0,2,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,2,0,0,2,4,2,1
DIAMOND ST / WILDER ST,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EUREKA ST / 22ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAKE ST / 18TH AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BRODERICK ST / PACIFIC AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
8TH AV / LAWTON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
WHITTIER ST / MISSION ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISSION ST / LAURA ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0 Block of FORD ST,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,9,0,0,2,3,4,0,0,1,0,0,1,0,0,0,0,1,0,0,5,11,1,0
0 Block of SHORT ST,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900 Block of POWELL ST,0,6,0,0,3,0,0,0,0,0,0,0,4,2,0,0,7,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,0,0
400 Block of 36TH AV,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,4,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0
14TH ST / LANDERS ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0
TREAT AV / 16TH ST,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,7,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0
0 Block of SAMOSET ST,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
MARINA BL / FILLMORE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3500 Block of SANTIAGO ST,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0
HOLLISTER AV / INGALLS ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
300 Block of FLORIDA ST,0,3,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FULTON ST / CENTRAL AV,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,2,1
800 Block of JUDAH ST,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0
1500 Block of 7TH AV,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
2300 Block of SILVER AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0
BEAVER ST / DEFOREST WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT FRANCIS BL / SLOAT BL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACKSON ST / TRENTON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE EMBARCADERONORTH ST / NORTHPOINT ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
OCTAVIA ST / MARKET ST,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,2,6,11,0,0,0,1,0,2,0,0,0,0,1,0,0,1,3,6,1
HOPKINS AV / BURNETT AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALLEJO ST / MONTGOMERY ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
300 Block of HILL ST,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0
IVY ST / WEBSTER ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1800 Block of STEINER ST,0,2,0,0,4,0,0,0,1,0,0,0,1,1,0,0,9,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0
17TH AV / LINCOLN WY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
ALAMEDA ST / DEHARO ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 Block of LELAND AV,0,4,0,0,4,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,3,0,0,9,1,0,0
800 Block of URBANO DR,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0
1700 Block of FUNSTON AV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000 Block of JOHNFKENNEDY DR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2500 Block of JACKSON ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
1400 Block of SANSOME ST,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
MOSCOW ST / PERSIA AV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0
800 Block of GOETTINGEN ST,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0
SHOTWELL ST / 20TH ST,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,15,0,17,0,4,0,0,0,0,0,0,2,0,0,1,4,5,0
1900 Block of BERNALHTS BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NORIEGA ST / 20TH AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800 Block of 30TH AV,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,0,2
LAGRANDE AV / BRAZIL AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
300 Block of WARREN DR,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
SILLIMAN ST / SAN BRUNO AV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CLIPPER ST / CASTRO ST,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
200 Block of DIVISADERO ST,0,9,0,0,15,0,0,1,1,0,0,0,2,4,0,0,26,2,0,3,13,9,0,0,0,3,0,2,0,0,0,0,5,0,1,9,10,4,0
0 Block of CENTRAL AV,0,0,0,0,5,0,0,0,1,0,0,0,1,5,0,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,6,1,0
BONIFACIO ST / LAPU-LAPU ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTGOMERY ST / FILBERT ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 Block of MAGELLAN AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
2800 Block of 36TH AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200 Block of STCHARLES AV,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0 Block of CRYSTAL ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1100 Block of NEWHALL ST,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,6,0
2600 Block of DIAMOND ST,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0
0 Block of TRAINOR ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400 Block of VIENNA ST,0,11,0,0,1,0,0,0,0,0,0,0,1,1,0,1,7,0,0,2,5,8,0,0,0,2,0,0,0,0,0,0,3,0,1,3,8,0,0
2800 Block of STEINER ST,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0
RAYBURN ST / 21ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 Block of BURROWS ST,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
700 Block of ALEMANY BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
900 Block of FILLMORE ST,0,7,0,0,5,0,0,2,0,0,0,0,1,1,0,0,10,0,0,0,6,5,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1,1
BRUSSELS ST / MANSELL ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
33RD AV / RIVERA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2400 Block of SANTIAGO ST,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2ND AV / LAKE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0 Block of JERSEY ST,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,1
NEWCOMB AV / LASVILLAS CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
300 Block of OTSEGO AV,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIZABA AV / BROAD ST,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0
LONDON ST / ITALY AV,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
LARCH ST / FRANKLIN ST,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
SAGAMORE ST / SAN JOSE AV,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
RANKIN ST / OAKDALE AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0
PACIFIC AV / BATTERY ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
100 Block of 5THSTNORTH ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 Block of MORAGA ST,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
100 Block of ASHBURY ST,0,3,0,0,3,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1400 Block of RANKIN ST,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,2,0,0,0,1,1,2,0,0,0,0,1,0,0,0,3,0,0
SUNSET BL / WAWONA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000 Block of TURK ST,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0
26TH AV / ANZA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
DIVISADERO ST / GROVE ST,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,8,0,0,0,3,21,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,1
STOCKTON ST / LOMBARD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
CORTLAND AV / FOLSOM ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
0 Block of PRADO ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0
TARAVAL ST / LENOX WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
900 Block of NOE ST,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
DENSLOWE DR / HOLLOWAY AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2200 Block of 27TH AV,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,3,0,1,1,2,0,0
DOWNEY ST / FREDERICK ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1800 Block of 32ND AV,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,2,1,0
500 Block of MISSOURI ST,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,8,0,0
100 Block of FAITH ST,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
400 Block of VERNON ST,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
